"sample_SRR5343917" "sample_SRR5343918" "sample_SRR5343919" "sample_SRR5343920" "sample_SRR5343921" "sample_SRR5343922" "sample_SRR5343923" "sample_SRR5343924" "sample_SRR5343925" "sample_SRR5343926"
"ENSG00000000003" 3040 2073 1356 1034 1802 3528 538 145 1506 1826
"ENSG00000000005" 8 0 1 14 0 0 31 2 2 29
"ENSG00000000419" 3353 3331 5731 4029 4472 6422 2099 2251 2094 2046
"ENSG00000000457" 974 971 517 696 1127 1082 819 871 714 546
"ENSG00000000460" 745 504 582 408 1060 1026 588 723 967 938
"ENSG00000000938" 119 213 224 544 589 227 1270 277 1639 1719
"ENSG00000000971" 570 1480 1271 5133 2605 3585 9157 3136 3496 7287
"ENSG00000001036" 4544 5141 2830 3159 5745 6295 5768 4090 4028 4059
"ENSG00000001084" 3690 3240 1464 1409 1197 1527 1218 562 2123 1773
"ENSG00000001167" 7421 4636 1930 1734 2327 1967 1131 1262 1825 1650
"ENSG00000001460" 3281 3202 477 563 1238 1439 767 959 375 437
"ENSG00000001461" 6902 5215 1521 2122 12560 20114 6257 9803 1067 1113
"ENSG00000001497" 4201 5012 1514 2181 3186 4267 1261 1166 1719 2590
"ENSG00000001561" 607 452 318 443 68 97 247 55 313 207
"ENSG00000001617" 480 715 228 1063 997 335 1336 404 1940 5623
"ENSG00000001626" 1 32 26 17 8 3 5 7 8 15
"ENSG00000001629" 2710 2974 3877 3539 7770 5911 12217 7765 4081 2589
"ENSG00000001630" 269 258 185 167 1561 2256 876 1195 132 266
"ENSG00000001631" 1716 1950 2504 2905 5568 4435 6651 3946 1277 1115
"ENSG00000002016" 353 887 286 435 636 485 572 696 356 352
"ENSG00000002079" 2 1 21 20 30 13 35 9 8 1
"ENSG00000002330" 1198 1573 911 820 875 1498 617 763 799 1440
"ENSG00000002549" 7010 10977 9802 9937 4970 7727 8727 8514 10743 9093
"ENSG00000002586" 29733 40804 11455 23171 29846 30043 14828 8506 9527 29379
"ENSG00000002587" 65 52 188 480 920 613 622 476 415 716
"ENSG00000002726" 2 13 24 12 40 12 19 2 29 18
"ENSG00000002745" 1 5 12 8 713 196 17 71 7 4
"ENSG00000002746" 0 3 198 226 1853 1394 28 9 86 83
"ENSG00000002822" 3124 3591 4249 6939 3800 6034 2425 2025 3572 7671
"ENSG00000002834" 19111 17148 4532 11269 22947 23135 13551 13244 10167 19908
"ENSG00000002919" 1671 1451 1319 1060 1029 2019 1079 1077 1417 1724
"ENSG00000002933" 252 708 788 2634 414 810 3009 845 1598 3918
"ENSG00000003056" 9929 8927 4220 5239 4225 6937 5179 9474 5054 5673
"ENSG00000003096" 378 334 41 60 323 482 56 30 151 178
"ENSG00000003137" 94 406 339 615 537 363 975 250 994 1761
"ENSG00000003147" 781 1833 335 381 1451 1786 963 1182 431 844
"ENSG00000003249" 9072 14022 1246 2381 5429 5037 8169 5039 1520 4815
"ENSG00000003393" 3209 3340 1407 1453 5153 5421 4036 3898 1404 1424
"ENSG00000003400" 743 874 326 701 198 156 501 253 799 938
"ENSG00000003402" 2705 4641 2024 3838 5081 4225 5236 4495 4610 4034
"ENSG00000003436" 103 192 442 975 844 888 1113 512 1458 2213
"ENSG00000003509" 1043 1445 901 939 984 1136 662 471 856 745
"ENSG00000003756" 3078 5095 4547 5954 6339 6895 5541 4444 3561 3258
"ENSG00000003987" 13 58 84 63 35 22 54 88 181 63
"ENSG00000003989" 60 100 349 722 389 454 1340 1877 3242 2566
"ENSG00000004059" 4658 4096 7684 7050 4956 4225 11406 9473 7313 9789
"ENSG00000004139" 404 660 203 479 1016 1338 320 264 281 352
"ENSG00000004142" 7397 7640 3539 4990 7047 11690 3009 2498 3928 5362
"ENSG00000004399" 1952 2360 4849 14617 15448 13734 15858 7576 13897 39017
"ENSG00000004455" 22066 22409 21894 16502 11866 17104 6746 7790 10348 10862
"ENSG00000004468" 18 117 749 1643 12 114 150 111 440 72
"ENSG00000004478" 7323 5215 3887 5467 10842 13998 3771 6120 6184 5916
"ENSG00000004487" 7546 5548 10677 9010 6019 7041 3597 3798 4218 4558
"ENSG00000004534" 3018 10950 3294 6515 4065 4130 3404 2575 3787 3892
"ENSG00000004660" 44 46 197 254 1341 2688 499 260 845 1167
"ENSG00000004700" 2675 3460 1163 1504 4529 4648 5157 5959 1844 1779
"ENSG00000004766" 987 1344 3104 2626 1988 2373 2423 2623 1567 948
"ENSG00000004776" 13 15 41 606 201 340 359 57 71 624
"ENSG00000004777" 183 376 276 420 614 490 668 424 1029 451
"ENSG00000004779" 4861 4121 6198 3062 2933 4280 2100 2821 3712 4470
"ENSG00000004799" 306 174 6827 9544 1351 770 4556 5497 2724 4234
"ENSG00000004809" 6 2 4 9 22 127 10 5 14 18
"ENSG00000004838" 20 91 92 68 238 186 222 207 71 70
"ENSG00000004846" 13478 19086 7715 4464 49 36 32 4 4342 989
"ENSG00000004848" 0 0 170 337 125 58 367 944 1 3
"ENSG00000004864" 2835 2185 8188 7235 7143 9895 1880 2164 3700 3521
"ENSG00000004866" 1500 1985 2193 3051 996 1597 3262 1890 3622 2666
"ENSG00000004897" 5595 4880 2778 2943 7657 8379 4180 4316 5182 4064
"ENSG00000004939" 2 7 2 1 3 0 1 4 93 2
"ENSG00000004948" 9 9 72 97 20 18 9 3 16 10
"ENSG00000004961" 2773 2716 1386 1069 1407 1972 866 1832 1438 1513
"ENSG00000004975" 3546 3903 2105 3212 3742 6886 1920 2434 2608 3529
"ENSG00000005001" 9 1 4 3 36 16 256 380 2 13
"ENSG00000005007" 10886 10706 3146 6745 8454 10976 4903 3322 3647 6438
"ENSG00000005020" 3857 4059 3407 2620 4734 7826 4989 3574 3238 2045
"ENSG00000005022" 21383 16794 11119 8964 11501 18450 8751 7427 16498 23410
"ENSG00000005059" 39 143 748 907 953 1074 1511 966 1083 1519
"ENSG00000005073" 14 10 577 456 1008 1364 412 250 293 409
"ENSG00000005075" 1688 1539 3305 3507 2107 1716 2431 3140 3524 5210
"ENSG00000005100" 3792 3599 3263 2769 2667 3864 4686 6409 4116 3006
"ENSG00000005102" 8 26 59 233 22 34 336 72 255 1057
"ENSG00000005108" 71 215 102 235 1042 370 552 182 351 698
"ENSG00000005156" 2279 2310 1381 1713 3687 5031 1116 877 1172 1684
"ENSG00000005175" 2332 2839 1478 1220 2718 2510 1920 1949 2037 1154
"ENSG00000005187" 202 157 64 83 18 25 29 21 50 54
"ENSG00000005189" 180 102 215 183 277 344 323 337 248 327
"ENSG00000005194" 5697 6389 3117 2808 3538 5399 2513 2483 1529 2518
"ENSG00000005206" 1419 2127 1893 2902 3607 4775 3555 2450 1182 1283
"ENSG00000005238" 2278 2805 1981 2750 1742 1779 2253 1842 3388 2795
"ENSG00000005243" 58 97 997 1324 2066 3225 1983 811 1642 3732
"ENSG00000005249" 1866 2591 1862 1121 1329 1734 6529 7648 1670 779
"ENSG00000005302" 1313 1814 1599 1370 1746 2168 1444 1457 1882 1750
"ENSG00000005339" 9839 7689 2002 2962 8269 7223 6395 5390 3080 4520
"ENSG00000005379" 0 46 84 166 84 437 77 9 124 47
"ENSG00000005381" 0 3 21 23 14 27 14 5 41 28
"ENSG00000005421" 0 0 4 4 3 6 16 10 0 1
"ENSG00000005436" 1207 1303 717 554 1252 1696 842 561 1346 696
"ENSG00000005448" 286 186 570 654 1230 1055 2343 1623 588 1021
"ENSG00000005469" 355 581 991 741 696 918 1757 1436 974 888
"ENSG00000005471" 14 12 737 1660 818 1151 3145 1836 363 493
