"","gene_id.anti_PDL_treated_tumor_vs_baseline_tumor","gene_name","base_mean","lfcSE.anti_PDL_treated_tumor_vs_baseline_tumor","pvalue.anti_PDL_treated_tumor_vs_baseline_tumor","adj.P.Val.anti_PDL_treated_tumor_vs_baseline_tumor","gene_id"
"ENSG00000205786","ENSG00000205786",305.100911038636,-2.91035939930699,0.548961608906606,7.91657630203428e-09,0.000154325738431856,"ENSG00000205786"
"ENSG00000089356","ENSG00000089356",2668.7596015848,2.3093041337893,0.4672250130398,6.62751953755407e-08,0.000645984329325395,"ENSG00000089356"
"ENSG00000164929","ENSG00000164929",3539.30372553337,1.40173471604965,0.289850279867858,1.60295468533404e-07,0.00104159995453006,"ENSG00000164929"
"ENSG00000140479","ENSG00000140479",1337.83809822567,1.51989888514255,0.324119039633484,2.16522990591916e-07,0.0010552247946497,"ENSG00000140479"
"ENSG00000081479","ENSG00000081479",858.341530401349,2.0565831952856,0.652929523759906,1.54447911656957e-06,0.00501801264973454,"ENSG00000081479"
"ENSG00000243137","ENSG00000243137",696.851017865855,-2.48152658560301,0.910674795007163,1.40721092381498e-06,0.00501801264973454,"ENSG00000243137"
"ENSG00000160180","ENSG00000160180",390.867883115667,-1.50648665181327,0.588140566525727,4.11608600992372e-06,0.0100298725846816,"ENSG00000160180"
"ENSG00000174343","ENSG00000174343",58.8694534674848,-2.16660017718954,1.05831070734939,3.90925158015049e-06,0.0100298725846816,"ENSG00000174343"
"ENSG00000143028","ENSG00000143028",863.194466695678,1.30588014720185,0.620505879939517,7.49020444734074e-06,0.01622378283294,"ENSG00000143028"
"ENSG00000196338","ENSG00000196338",239.645657784352,1.26894966980405,0.65508018556364,9.38669921613002e-06,0.0182984314519239,"ENSG00000196338"
"ENSG00000102924","ENSG00000102924",127.401030187353,1.12382487738325,0.767217908633269,1.91952933563788e-05,0.0257288533658743,"ENSG00000102924"
"ENSG00000105976","ENSG00000105976",5769.07180439139,-1.09593543828806,0.756356250111903,1.9797517209814e-05,0.0257288533658743,"ENSG00000105976"
"ENSG00000249341","ENSG00000249341",174.356451311745,-1.48537258067986,1.21962479069995,1.82569178595225e-05,0.0257288533658743,"ENSG00000249341"
"ENSG00000269028","ENSG00000269028",71.3392915510925,-1.18701040128321,0.827711088188297,1.97525575315814e-05,0.0257288533658743,"ENSG00000269028"
"ENSG00000185985","ENSG00000185985",1284.20302181268,1.20026646945582,0.915752660459514,2.35520407922471e-05,0.0270072637178862,"ENSG00000185985"
"ENSG00000197893","ENSG00000197893",215.322760104183,1.37883731766202,1.22933046146703,2.24897171721963e-05,0.0270072637178862,"ENSG00000197893"
"ENSG00000180730","ENSG00000180730",823.359374700742,-0.785303808910073,0.640485674579506,2.92604513178044e-05,0.0316890687771821,"ENSG00000180730"
"ENSG00000147614","ENSG00000147614",392.031663058206,-0.972578670426014,0.884082424955861,3.75174573191902e-05,0.0384929112094892,"ENSG00000147614"
"ENSG00000162723","ENSG00000162723",228.676513228697,-0.896590569695796,0.860145591300618,4.32592395215158e-05,0.0421647807616214,"ENSG00000162723"
"ENSG00000145358","ENSG00000145358",773.801754639609,0.793489345799532,0.82835849028465,5.35090936872908e-05,0.047993125065445,"ENSG00000145358"
"ENSG00000186439","ENSG00000186439",159.374856167663,0.784557666906742,1.25309124673392,5.55686154430419e-05,0.047993125065445,"ENSG00000186439"
"ENSG00000204936","ENSG00000204936",166.627702940734,-0.869079791933863,0.963813244399468,5.66246987024334e-05,0.047993125065445,"ENSG00000204936"
"ENSG00000172349","ENSG00000172349",2302.95318473896,0.385223170198686,0.461236131989558,6.08176710752678e-05,0.0493991533308863,"ENSG00000172349"
"ENSG00000158292","ENSG00000158292",3252.02641599475,0.283594319669808,0.376086778779925,6.71429772917275e-05,0.0523554079729974,"ENSG00000158292"
"ENSG00000135447","ENSG00000135447",873.151144205337,0.756652875912819,0.938773451155104,7.42238536937057e-05,0.0556507616886577,"ENSG00000135447"
"ENSG00000111058","ENSG00000111058",1293.66318725272,0.543929892901553,0.673088656921766,7.99463322788974e-05,0.0577212519053639,"ENSG00000111058"
"ENSG00000162643","ENSG00000162643",1008.82650293451,0.587040398035378,0.816620908850213,0.000103697793930748,0.0721958855316431,"ENSG00000162643"
"ENSG00000109610","ENSG00000109610",6893.22504742559,0.599297243976253,0.899868863033875,0.000114262295056122,0.0768079027525532,"ENSG00000109610"
"ENSG00000107165","ENSG00000107165",39252.9373959721,-0.561568812857443,0.913459754135349,0.000130557893814397,0.0848365194005955,"ENSG00000107165"
"ENSG00000070526","ENSG00000070526",255.898830744898,-0.40228627114792,0.739167490930786,0.00019652390880437,0.111688238836172,"ENSG00000070526"
"ENSG00000104833","ENSG00000104833",3053.86578213529,0.283661561808702,0.535784469427066,0.000211986500304625,0.111688238836172,"ENSG00000104833"
"ENSG00000112782","ENSG00000112782",235.190569475981,0.23067746406992,0.44693011561183,0.000209535182608428,0.111688238836172,"ENSG00000112782"
"ENSG00000140465","ENSG00000140465",555.690522258455,0.419988296478208,0.837217741157568,0.000203653762127204,0.111688238836172,"ENSG00000140465"
"ENSG00000186832","ENSG00000186832",29.1874812760076,0.408860060888775,0.897794151587538,0.000197896108259227,0.111688238836172,"ENSG00000186832"
"ENSG00000198848","ENSG00000198848",159.176442632115,-0.408398544336674,0.802159132615373,0.000209571054996466,0.111688238836172,"ENSG00000198848"
"ENSG00000137501","ENSG00000137501",3944.51168525591,-0.21459742742639,0.435891120087776,0.000234719722583446,0.120411217685308,"ENSG00000137501"
"ENSG00000128285","ENSG00000128285",927.512049960086,0.301722352457194,0.596651986067703,0.00024182165503348,0.120873624185196,"ENSG00000128285"
"ENSG00000105679","ENSG00000105679",248.194510183826,0.306698248526665,0.824384076670269,0.00026295969463569,0.125027714322638,"ENSG00000105679"
"ENSG00000123496","ENSG00000123496",370.705926693025,-0.206705416805687,0.435687908699783,0.000259190293399147,0.125027714322638,"ENSG00000123496"
"ENSG00000151224","ENSG00000151224",1003.6474602016,-0.321280735933315,0.792445332215333,0.00028672217111058,0.133080047705468,"ENSG00000151224"
"ENSG00000111863","ENSG00000111863",60.1491573682575,-0.277576827342339,0.624627446345713,0.00032141708996717,0.145001638986137,"ENSG00000111863"
"ENSG00000113303","ENSG00000113303",38.4190259019232,-0.266771675824677,0.766888078705802,0.00032728388813943,0.145001638986137,"ENSG00000113303"
"ENSG00000178445","ENSG00000178445",1524.33519366463,0.20784706077495,0.497679520668464,0.000377137999530772,0.15982452527941,"ENSG00000178445"
"ENSG00000184254","ENSG00000184254",14742.1662001105,0.170477191355996,0.415731666423528,0.000375152082920742,0.15982452527941,"ENSG00000184254"
"ENSG00000171345","ENSG00000171345",81.4269865104226,0.251797433724228,0.702221409014194,0.000403597414073155,0.167398467871108,"ENSG00000171345"
"ENSG00000198354","ENSG00000198354",29.4018724476047,0.137912427517136,0.606076291983748,0.000454753059017823,0.184686586093613,"ENSG00000198354"
"ENSG00000186827","ENSG00000186827",1965.41993181219,0.104895990659619,0.294396059725437,0.000465436005879191,0.185167540787938,"ENSG00000186827"
"ENSG00000143387","ENSG00000143387",29392.5860028574,-0.145352562692486,0.395824631889372,0.000494368307277239,0.19274431564125,"ENSG00000143387"
"ENSG00000169436","ENSG00000169436",6930.68174529404,-0.142272053440122,0.399564405549265,0.000538066034949625,0.201712678563615,"ENSG00000169436"
"ENSG00000169783","ENSG00000169783",5055.18959865429,0.153955572458451,0.426664700810209,0.00052887542260244,0.201712678563615,"ENSG00000169783"
"ENSG00000196666","ENSG00000196666",185.926325023318,0.0972407006966911,0.295839825394533,0.00058961967370088,0.210032726244521,"ENSG00000196666"
"ENSG00000213860","ENSG00000213860",161.034180629751,-0.134908697721544,0.396130435472686,0.000603023063855954,0.210032726244521,"ENSG00000213860"
"ENSG00000228672","ENSG00000228672",382.913686253033,0.0742990529678186,0.234293496831778,0.000576175764776642,0.210032726244521,"ENSG00000228672"
"ENSG00000126803","ENSG00000126803",2957.91007527604,0.0869348620083281,0.275299388039421,0.000637728072332118,0.218103000737584,"ENSG00000126803"
"ENSG00000156049","ENSG00000156049",1040.11609641219,0.16602385324381,0.532495125407383,0.000695335181254594,0.233704552127191,"ENSG00000156049"
"ENSG00000138131","ENSG00000138131",12868.4103534887,0.131188206506643,0.419955700878466,0.00075463583801378,0.247388778414614,"ENSG00000138131"
"ENSG00000157734","ENSG00000157734",442.443159580921,0.097443522509009,0.322030812950576,0.000774121036385117,0.247388778414614,"ENSG00000157734"
"ENSG00000243264","ENSG00000243264",64.0566086627732,0.127556471271795,0.551261456389753,0.000772571371294539,0.247388778414614,"ENSG00000243264"
"ENSG00000183971","ENSG00000183971",1406.73788967374,0.11116246394554,0.369650997093167,0.000819113807719357,0.257545234962599,"ENSG00000183971"
"ENSG00000116191","ENSG00000116191",2383.00448643552,-0.0422884197240879,0.16226790586219,0.000883164918167463,0.269006514293071,"ENSG00000116191"
"ENSG00000119630","ENSG00000119630",2024.92367235797,0.0481051040718951,0.18188324523211,0.000882370596260153,0.269006514293071,"ENSG00000119630"
"ENSG00000176171","ENSG00000176171",1995.51938382198,-0.0821189378347408,0.290962185728598,0.000903256490413033,0.270893569601718,"ENSG00000176171"
"ENSG00000141448","ENSG00000141448",346.532823129805,0.0753042030729101,0.271706926786014,0.00092425931492864,0.272992592200286,"ENSG00000141448"
"ENSG00000161649","ENSG00000161649",152.814862219904,0.113942730947315,0.514756068692521,0.000946240875140783,0.275313725671559,"ENSG00000161649"
"ENSG00000111252","ENSG00000111252",10346.1543773985,0.0353412919959331,0.146568965034046,0.00109024838017444,0.306756420361205,"ENSG00000111252"
"ENSG00000144218","ENSG00000144218",963.879674067913,-0.0684997394900441,0.262345822569264,0.00108014364949961,0.306756420361205,"ENSG00000144218"
"ENSG00000159166","ENSG00000159166",523.169953274588,0.109969446698283,0.42472038483718,0.00113298770216512,0.306756420361205,"ENSG00000159166"
"ENSG00000171402","ENSG00000171402",278.757684796833,-0.116173086880822,0.479330253875078,0.00110529158169657,0.306756420361205,"ENSG00000171402"
"ENSG00000177504","ENSG00000177504",127.903631220067,-0.114557491015038,0.453809910218,0.00112599331912285,0.306756420361205,"ENSG00000177504"
"ENSG00000110076","ENSG00000110076",908.506317132776,0.0707931490688235,0.280437729361833,0.0012163177292118,0.314269684853548,"ENSG00000110076"
"ENSG00000165816","ENSG00000165816",56.7280919961882,0.108042345597423,0.427069063621377,0.0011789644967404,0.314269684853548,"ENSG00000165816"
"ENSG00000173890","ENSG00000173890",255.739147991049,-0.0421337203160176,0.17786811913206,0.00122522294289882,0.314269684853548,"ENSG00000173890"
"ENSG00000186310","ENSG00000186310",265.760754612264,0.0841760972942737,0.326775948333879,0.0011944641452408,0.314269684853548,"ENSG00000186310"
"ENSG00000147041","ENSG00000147041",1659.78917632646,-0.0701782058484052,0.284896607121227,0.00130658987033056,0.326546960669537,"ENSG00000147041"
"ENSG00000141854","ENSG00000141854",335.241149900558,0.0408866815782708,0.179156277010778,0.00137559180138421,0.33944033640739,"ENSG00000141854"
"ENSG00000155158","ENSG00000155158",454.954929793596,-0.0363410185779112,0.162626157390258,0.00141902348605129,0.345780547963547,"ENSG00000155158"
"ENSG00000084731","ENSG00000084731",3855.12866158232,0.0243039119816145,0.112556786322269,0.00149958907152884,0.360901103214609,"ENSG00000084731"
"ENSG00000105711","ENSG00000105711",1009.05780930559,0.0525904753432669,0.231046897789428,0.00152506102616266,0.362555361512377,"ENSG00000105711"
"ENSG00000147027","ENSG00000147027",1339.35117333169,0.0377090383840932,0.173025895414664,0.00156213835363272,0.366895482719472,"ENSG00000147027"
"ENSG00000211964","ENSG00000211964",136.777138841674,0.0834706168600838,0.373147088279614,0.00161025834773117,0.373694955127041,"ENSG00000211964"
"ENSG00000173546","ENSG00000173546",32615.5998615486,0.0513067874532929,0.233392485053963,0.00168972762065645,0.387524120436199,"ENSG00000173546"
"ENSG00000121207","ENSG00000121207",634.232925372454,-0.0718667568872395,0.326613501178625,0.00175231960677842,0.397206028076029,"ENSG00000121207"
"ENSG00000147642","ENSG00000147642",351.865052638911,0.0751666084361737,0.351899124174202,0.0018177966169546,0.405149671950182,"ENSG00000147642"
"ENSG00000226887","ENSG00000226887",478.991856088802,-0.0582432520097453,0.270456034185762,0.00185088548086379,0.4054063097074,"ENSG00000226887"
"ENSG00000198039","ENSG00000198039",398.086154978786,-0.0372166951245562,0.18078800077844,0.00188022421765566,0.407256565544216,"ENSG00000198039"
"ENSG00000182885","ENSG00000182885",77.1134933003324,-0.0737077454768346,0.372835254696129,0.00196874851702621,0.421744874625373,"ENSG00000182885"
"ENSG00000185885","ENSG00000185885",4704.46754855135,0.0331626774820803,0.166070732906898,0.00200671656824913,0.425205791102701,"ENSG00000185885"
"ENSG00000145794","ENSG00000145794",309.588117092322,-0.0538142353039682,0.261803288099128,0.00208213426701907,0.431799206396486,"ENSG00000145794"
"ENSG00000182511","ENSG00000182511",1358.14259825592,0.0334862649482144,0.169233713805298,0.00207351646942699,0.431799206396486,"ENSG00000182511"
"ENSG00000078596","ENSG00000078596",1472.51310633447,0.0255157977630763,0.132192811761402,0.00212004561977555,0.433764760789464,"ENSG00000078596"
"ENSG00000118985","ENSG00000118985",1994.85859292181,-0.0244141805139569,0.127798539171578,0.00218061693635824,0.433764760789464,"ENSG00000118985"
"ENSG00000165194","ENSG00000165194",59.8143221798753,0.0512076905218481,0.253715410955937,0.002176117289419,0.433764760789464,"ENSG00000165194"
"ENSG00000188803","ENSG00000188803",36.6093207593707,0.060804311459775,0.302096407960011,0.00217972777066667,0.433764760789464,"ENSG00000188803"
"ENSG00000087258","ENSG00000087258",537.448714437778,0.0481106253486731,0.241352298269767,0.0022327721162565,0.439653127619235,"ENSG00000087258"
"ENSG00000053747","ENSG00000053747",504.214856873199,0.0375661410621068,0.194476460598045,0.00231649082968485,0.442722276802711,"ENSG00000053747"
"ENSG00000069535","ENSG00000069535",621.663625285066,0.0510595692203895,0.258411404530877,0.00230368551206108,0.442722276802711,"ENSG00000069535"
"ENSG00000164488","ENSG00000164488",61.1076676763436,0.0645522205379162,0.361624998050721,0.00229176853118682,0.442722276802711,"ENSG00000164488"
"ENSG00000079931","ENSG00000079931",1336.39709656117,0.0335657951753888,0.177381239812987,0.0023978500098175,0.449458539340215,"ENSG00000079931"
"ENSG00000177807","ENSG00000177807",588.948285083301,0.0628564279178333,0.33838933982177,0.00238868269452035,0.449458539340215,"ENSG00000177807"
"ENSG00000198125","ENSG00000198125",449.795691806424,0.0611951920945229,0.345445281099579,0.0024799129639757,0.460413555426116,"ENSG00000198125"
"ENSG00000115361","ENSG00000115361",24.8361409754977,0.058639574299423,0.350641268754936,0.00252819150978224,0.464948729166933,"ENSG00000115361"
"ENSG00000181374","ENSG00000181374",92.0633460554657,0.0409646777691954,0.217814205303933,0.00256732272197593,0.467732608805595,"ENSG00000181374"
"ENSG00000168004","ENSG00000168004",333.950276961392,0.0579029480695887,0.322510753847298,0.00263557481855233,0.471356839567515,"ENSG00000168004"
"ENSG00000168280","ENSG00000168280",411.717403057154,-0.0293335981442992,0.163451210077096,0.00274511359560828,0.486484040298071,"ENSG00000168280"
"ENSG00000138080","ENSG00000138080",26067.5493950351,0.0439514680547628,0.240998450106443,0.00282023305799259,0.495293902995563,"ENSG00000138080"
"ENSG00000007350","ENSG00000007350",472.274566892374,-0.0530634689015369,0.322572234921878,0.00296129492524545,0.496316878543269,"ENSG00000007350"
"ENSG00000104435","ENSG00000104435",136.886277428731,0.0444578870831015,0.248707865450019,0.0029643634079087,0.496316878543269,"ENSG00000104435"
"ENSG00000110492","ENSG00000110492",17687.148305044,0.0193513236164197,0.112306524247283,0.0029788178305921,0.496316878543269,"ENSG00000110492"
"ENSG00000169756","ENSG00000169756",7138.45567093458,-0.0162500555064069,0.0921733928945626,0.00291151265039937,0.496316878543269,"ENSG00000169756"
"ENSG00000169851","ENSG00000169851",2523.88910031823,0.0296815816575856,0.169408522135379,0.00296914799492451,0.496316878543269,"ENSG00000169851"
"ENSG00000197956","ENSG00000197956",69533.0677375963,0.018834376757685,0.108983074979048,0.0029615087527021,0.496316878543269,"ENSG00000197956"
"ENSG00000250305","ENSG00000250305",573.799466299827,-0.0255120820223569,0.149641235771266,0.0031367793891718,0.518206588241653,"ENSG00000250305"
"ENSG00000163762","ENSG00000163762",829.573366899173,-0.0217836685753153,0.129060296658559,0.0031697016426266,0.518272173717574,"ENSG00000163762"
"ENSG00000182566","ENSG00000182566",28.5645657120989,0.0459144127369703,0.318841242784929,0.00321693510925548,0.518272173717574,"ENSG00000182566"
"ENSG00000104313","ENSG00000104313",347.325819839631,-0.0268416355579653,0.163249031475291,0.00354347918684785,0.562374867877151,"ENSG00000104313"
"ENSG00000231274","ENSG00000231274",23.1345349469383,0.0459241243415555,0.290636730187833,0.00354837943720579,0.562374867877151,"ENSG00000231274"
"ENSG00000123360","ENSG00000123360",583.286409455938,0.0248769324059107,0.154826113945403,0.00375385075308602,0.573566849573065,"ENSG00000123360"
"ENSG00000124205","ENSG00000124205",7042.66659190595,0.0434875625559659,0.276085133683141,0.0037385099885213,0.573566849573065,"ENSG00000124205"
"ENSG00000132681","ENSG00000132681",20.1067478183524,-0.0382306865750587,0.294624515069842,0.00384842012869049,0.573566849573065,"ENSG00000132681"
"ENSG00000156509","ENSG00000156509",145.722141808783,-0.0247359599227823,0.153904862493841,0.00374714867650449,0.573566849573065,"ENSG00000156509"
"ENSG00000180354","ENSG00000180354",5738.12940794854,-0.0167481712773848,0.105318727537161,0.0038149029214508,0.573566849573065,"ENSG00000180354"
"ENSG00000188483","ENSG00000188483",1370.80610334284,0.0200213791909383,0.126721461509223,0.00385437864440708,0.573566849573065,"ENSG00000188483"
"ENSG00000211973","ENSG00000211973",340.627519510868,0.0441159535331239,0.280023107991853,0.00369366248414283,0.573566849573065,"ENSG00000211973"
"ENSG00000238103","ENSG00000238103",687.949315849514,-0.0236661896724896,0.14797197329739,0.00377818020272632,0.573566849573065,"ENSG00000238103"
"ENSG00000186529","ENSG00000186529",20.2192865998173,-0.0353623740484159,0.287665684031572,0.00393453297335424,0.581058983201269,"ENSG00000186529"
"ENSG00000114450","ENSG00000114450",5479.19436748305,-0.0113882693013124,0.0679879204436407,0.00415967245443816,0.606250372207614,"ENSG00000114450"
"ENSG00000241484","ENSG00000241484",72.9947194092947,-0.0401314562939056,0.267459237366872,0.00416731044812867,0.606250372207614,"ENSG00000241484"
"ENSG00000143847","ENSG00000143847",595.869877004905,-0.0229997512688174,0.149719449467178,0.00425503782593009,0.610184609974537,"ENSG00000143847"
"ENSG00000167363","ENSG00000167363",1870.7536311202,0.015882967972725,0.103816089679111,0.00428825749289584,0.610184609974537,"ENSG00000167363"
"ENSG00000188269","ENSG00000188269",170.628033368353,-0.0321942770918451,0.207945936097545,0.00428801047429184,0.610184609974537,"ENSG00000188269"
"ENSG00000125285","ENSG00000125285",45.1544707736222,0.0384975459371979,0.275011280301285,0.00442827507987771,0.612824294209055,"ENSG00000125285"
"ENSG00000144331","ENSG00000144331",334.703778008294,0.0390657546146704,0.274516835287298,0.0043619217730233,0.612824294209055,"ENSG00000144331"
"ENSG00000166923","ENSG00000166923",810.640671595711,-0.0380504794926309,0.25640357111409,0.00439533684778189,0.612824294209055,"ENSG00000166923"
"ENSG00000211625","ENSG00000211625",82.2058965969377,-0.0384740341461578,0.274820778318573,0.00443255491348501,0.612824294209055,"ENSG00000211625"
"ENSG00000273706","ENSG00000273706",128.063673093459,-0.0223024435102016,0.148003409340068,0.00449208194024842,0.61668060100847,"ENSG00000273706"
"ENSG00000205336","ENSG00000205336",21107.7269255567,0.0138889081593164,0.0915793630331382,0.00455088178038434,0.620383842145541,"ENSG00000205336"
"ENSG00000135272","ENSG00000135272",7489.29736809175,-0.0127347583066941,0.0833879210957817,0.00465075126745648,0.627694021881124,"ENSG00000135272"
"ENSG00000159217","ENSG00000159217",322.090795765388,-0.034946631914456,0.237140572140394,0.00466890495397368,0.627694021881124,"ENSG00000159217"
"ENSG00000122121","ENSG00000122121",138.412626841352,0.0367257013590769,0.262894331555163,0.00471914702869606,0.630103097105486,"ENSG00000122121"
"ENSG00000183208","ENSG00000183208",237.933083085915,0.0135935557222462,0.0911131691853131,0.00478318378274876,0.634308739189825,"ENSG00000183208"
"ENSG00000113205","ENSG00000113205",510.751722951236,-0.0205230747786544,0.140807300796343,0.00492023711541284,0.64807501572877,"ENSG00000113205"
