ID	sample_SRR5343918	sample_SRR5343920	sample_SRR5343922	sample_SRR5343924	sample_SRR5343926
ENSG00000223972	0	0	1	3	1
ENSG00000227232	287	278	201	91	72
ENSG00000278267	91	34	27	12	8
ENSG00000243485	2	3	2	0	0
ENSG00000274890	0	0	0	0	0
ENSG00000237613	0	0	0	0	0
ENSG00000268020	0	0	0	0	0
ENSG00000240361	0	0	0	0	0
ENSG00000186092	0	0	0	0	0
ENSG00000238009	3	1	0	0	0
ENSG00000239945	0	0	0	0	0
ENSG00000233750	0	2	0	0	5
ENSG00000268903	8	83	1	7	13
ENSG00000269981	4	41	4	3	8
ENSG00000239906	1	1	1	0	0
ENSG00000241860	13	7	5	6	3
ENSG00000222623	0	0	0	0	0
ENSG00000241599	0	0	0	0	0
ENSG00000279928	1	10	6	1	4
ENSG00000279457	1128	459	455	209	305
ENSG00000273874	1	0	1	0	0
ENSG00000275135	0	0	0	0	0
ENSG00000228463	41	31	35	14	11
ENSG00000241670	0	0	0	0	0
ENSG00000236679	6	5	1	11	1
ENSG00000236743	0	0	0	0	0
ENSG00000236601	0	0	0	0	0
ENSG00000237094	41	66	4	4	2
ENSG00000269732	0	0	0	0	0
ENSG00000278566	0	0	0	0	0
ENSG00000224813	0	0	0	0	0
ENSG00000233653	0	0	0	0	0
ENSG00000250575	6	12	2	0	0
ENSG00000278757	0	1	0	0	0
ENSG00000230021	2	1	1	2	2
ENSG00000235146	0	0	0	0	0
ENSG00000225972	4	112	32	23	58
ENSG00000225630	691	73940	23611	35540	13225
ENSG00000276171	70	1760	1643	602	2063
ENSG00000237973	103	4343	2384	9320	1615
ENSG00000278791	0	0	0	0	0
ENSG00000229344	6	854	209	131	207
ENSG00000240409	0	12	2	2	2
ENSG00000248527	2271	87837	64519	38842	23772
ENSG00000198744	12	601	136	177	180
ENSG00000268663	0	0	0	0	0
ENSG00000273547	0	0	0	0	0
ENSG00000229376	1	2	0	2	0
ENSG00000228327	223	133	165	137	60
ENSG00000223181	0	0	0	0	0
ENSG00000229905	0	0	0	0	0
ENSG00000237491	74	31	62	144	20
ENSG00000230092	41	18	45	35	14
ENSG00000177757	24	8	22	31	16
ENSG00000228794	1911	372	1575	1188	874
ENSG00000225880	115	31	56	49	25
ENSG00000230368	0	2	2	3	0
ENSG00000234711	1	1	0	1	0
ENSG00000283040	0	0	0	0	0
ENSG00000272438	0	0	50	0	4
ENSG00000230699	0	3	247	1	4
ENSG00000241180	0	0	1	0	0
ENSG00000223764	5	33	1052	38	57
ENSG00000187634	39	35	1542	66	284
ENSG00000188976	7550	3144	10889	7831	6923
ENSG00000187961	2037	434	2080	518	680
ENSG00000277294	0	0	0	0	0
ENSG00000187583	16	39	639	121	63
ENSG00000187642	15	14	151	33	16
ENSG00000272512	14	52	33	48	83
ENSG00000188290	37	169	349	137	659
ENSG00000187608	234	1648	2773	2116	3146
ENSG00000231702	0	0	0	0	0
ENSG00000224969	0	2	5	2	3
ENSG00000188157	5326	3602	44057	33173	24510
ENSG00000242590	0	0	0	0	0
ENSG00000217801	172	19	232	412	70
ENSG00000273443	17	0	30	29	5
ENSG00000237330	0	0	3	4	0
ENSG00000131591	1063	482	800	677	588
ENSG00000223823	0	1	0	0	0
ENSG00000207730	0	0	0	0	0
ENSG00000207607	0	0	0	1	0
ENSG00000198976	0	0	0	0	0
ENSG00000272141	0	1	0	0	0
ENSG00000205231	0	1	6	0	3
ENSG00000162571	1	5	20	7	23
ENSG00000186891	68	178	22	1353	85
ENSG00000186827	177	392	6197	5454	596
ENSG00000078808	15348	6416	46452	14494	13385
ENSG00000176022	1621	1234	2419	1721	2887
ENSG00000184163	28	18	7528	15	70
ENSG00000260179	7	4	41	3	13
ENSG00000160087	3056	1532	3792	2238	3343
ENSG00000230415	25	18	26	32	11
ENSG00000162572	84	213	205	1110	183
ENSG00000131584	5579	1669	3415	9369	4110
ENSG00000278073	0	0	0	0	0
ENSG00000169972	596	288	885	665	1196
ENSG00000127054	7033	3070	6057	5347	4831
ENSG00000274153	0	0	0	0	0
ENSG00000240731	110	47	109	163	81
ENSG00000224051	2073	864	1530	1227	2032
ENSG00000169962	61	22	59	465	9
ENSG00000107404	5805	1552	4940	4041	3853
ENSG00000275884	0	0	0	0	0
ENSG00000162576	1049	1748	2294	1666	15536
ENSG00000175756	4775	2568	5727	3492	7877
ENSG00000223663	3	1	0	0	1
ENSG00000221978	9684	5591	8765	5331	3388
ENSG00000224870	1255	1103	2211	1039	1233
ENSG00000242485	3567	2640	4857	4300	5414
ENSG00000264293	0	0	0	0	0
ENSG00000272455	223	223	272	277	90
ENSG00000235098	24	125	931	73	309
ENSG00000225905	0	4	48	0	9
ENSG00000205116	1	2	57	3	1
ENSG00000225285	5	45	201	109	37
ENSG00000179403	1089	5341	14873	2834	13626
ENSG00000215915	41	132	23	23	70
ENSG00000160072	1989	1568	1626	3866	2209
ENSG00000197785	1798	1469	3550	2798	4081
ENSG00000205090	26	58	319	42	101
ENSG00000160075	7084	4557	7322	5947	6606
ENSG00000215014	39	33	69	58	61
ENSG00000279244	0	0	0	0	0
ENSG00000274481	0	0	0	0	0
ENSG00000280747	0	0	0	0	0
ENSG00000228594	794	958	1223	1017	1082
ENSG00000272106	157	265	240	340	151
ENSG00000197530	2326	1361	2042	1910	1785
ENSG00000189409	6	3	1	14	40
ENSG00000248333	3125	1220	3199	2318	2943
ENSG00000272004	0	0	2	2	0
ENSG00000189339	5887	781	3482	1209	1605
ENSG00000269737	72	15	10	23	6
ENSG00000269227	18	1	3	10	1
ENSG00000215914	17	14	13	6	5
ENSG00000008128	151	64	89	56	74
ENSG00000268575	105	15	112	14	38
ENSG00000227775	309	131	206	330	110
ENSG00000215790	233	16	187	46	50
ENSG00000008130	3672	2444	4447	2659	3870
ENSG00000078369	31728	10192	28463	25551	27917
ENSG00000231050	6	13	6	4	15
ENSG00000169885	1	56	36	28	11
ENSG00000178821	1	19	192	27	47
ENSG00000142609	27	13	30	6	48
ENSG00000233542	23	9	14	9	69
ENSG00000187730	175	141	92	68	336
ENSG00000226969	0	0	0	0	0
ENSG00000067606	684	108	2080	1121	165
ENSG00000271806	5	0	5	5	0
ENSG00000182873	64	20	86	154	40
ENSG00000162585	2531	1154	2482	1925	4083
ENSG00000234396	1	2	4	1	1
ENSG00000277082	0	0	0	0	0
ENSG00000157933	8899	2852	14438	7027	6469
ENSG00000116151	305	115	486	363	184
ENSG00000272161	0	0	2	1	2
ENSG00000269896	60	38	97	27	68
ENSG00000272420	14	15	6	8	23
ENSG00000157916	7880	3957	7384	6629	6921
ENSG00000157911	928	475	1915	824	1168
ENSG00000149527	34	108	8	11	42
ENSG00000224387	0	0	0	0	0
ENSG00000229393	0	0	0	1	0
ENSG00000157881	1668	775	1988	1231	1700
ENSG00000197921	3	14	10	5	12
ENSG00000272449	261	171	150	90	70
ENSG00000238164	682	253	179	327	204
ENSG00000157873	26328	8886	7748	6041	7274
ENSG00000225931	426	8	8	8	12
ENSG00000228037	13	9	4	7	6
ENSG00000157870	3164	957	3552	2714	2532
ENSG00000142606	1	21	8	83	6
ENSG00000237058	0	0	0	0	0
ENSG00000215912	7	34	73	13	24
ENSG00000233234	0	0	0	0	0
ENSG00000231630	0	0	0	0	0
ENSG00000169717	0	0	0	0	0
ENSG00000177133	3	41	133	2	42
ENSG00000142611	7	82	332	66	127
ENSG00000226286	0	0	0	241	0
ENSG00000279839	0	0	0	0	2
ENSG00000272235	0	4	0	18	9
ENSG00000130762	5	19	1615	728	261
ENSG00000272088	0	0	2	0	0
ENSG00000162591	29	194	650	214	1398
ENSG00000207776	0	0	0	1	0
ENSG00000238260	38	24	25	11	5
ENSG00000158109	5307	1687	2951	2985	2810
ENSG00000116213	2105	985	1058	1219	1177
ENSG00000078900	14	44	221	6	163
ENSG00000227589	1	1	1	0	0
ENSG00000235131	0	0	0	0	0
ENSG00000227372	92	330	1917	160	999
ENSG00000276189	0	0	0	0	0
ENSG00000162592	0	0	2	1	0
ENSG00000235169	35	23	245	51	82
ENSG00000130764	3623	1575	4073	2120	3225
ENSG00000266075	5	6	0	2	0
ENSG00000272153	45	17	46	30	21
ENSG00000116198	3617	988	2134	2067	1794
ENSG00000169598	811	241	535	393	416
ENSG00000198912	1480	726	1573	1225	1373
ENSG00000236423	117	60	235	130	16
ENSG00000233304	0	0	0	1	0
ENSG00000226374	0	0	0	1	0
ENSG00000229280	0	0	0	0	0
ENSG00000235054	0	28	0	4	0
ENSG00000227169	0	0	0	0	0
ENSG00000232596	0	0	0	0	1
ENSG00000196581	24	65	7	11	351
ENSG00000277731	0	0	0	0	0
ENSG00000231510	0	0	0	1	0
ENSG00000260972	0	0	0	0	0
ENSG00000264341	0	0	0	0	0
ENSG00000236948	0	0	0	0	0
ENSG00000216045	0	0	0	0	0
