ID	sample_SRR5343917	sample_SRR5343919	sample_SRR5343921	sample_SRR5343923	sample_SRR5343925
ENSG00000223972	0	0	0	0	1
ENSG00000227232	128	165	181	118	96
ENSG00000278267	8	34	32	13	9
ENSG00000243485	11	1	2	0	2
ENSG00000274890	0	0	0	0	0
ENSG00000237613	0	0	0	0	1
ENSG00000268020	0	0	0	0	0
ENSG00000240361	0	0	1	0	0
ENSG00000186092	0	0	0	0	0
ENSG00000238009	0	0	1	2	0
ENSG00000239945	0	0	0	0	0
ENSG00000233750	0	1	0	0	3
ENSG00000268903	1	15	2	28	42
ENSG00000269981	0	8	3	26	19
ENSG00000239906	0	0	0	2	1
ENSG00000241860	8	8	12	6	4
ENSG00000222623	0	0	0	0	0
ENSG00000241599	0	0	0	0	0
ENSG00000279928	1	6	5	2	9
ENSG00000279457	466	336	413	296	420
ENSG00000273874	0	0	2	1	0
ENSG00000275135	0	0	0	0	0
ENSG00000228463	19	42	35	21	32
ENSG00000241670	0	0	0	0	0
ENSG00000236679	4	2	7	4	0
ENSG00000236743	0	0	0	0	0
ENSG00000236601	0	0	0	0	0
ENSG00000237094	31	48	8	13	8
ENSG00000269732	0	0	0	0	0
ENSG00000278566	0	0	0	0	0
ENSG00000224813	0	0	0	0	0
ENSG00000233653	0	0	0	0	0
ENSG00000250575	2	3	0	6	9
ENSG00000278757	0	0	0	0	0
ENSG00000230021	4	0	3	1	5
ENSG00000235146	0	0	0	0	0
ENSG00000225972	0	97	48	170	1119
ENSG00000225630	359	83861	22294	19276	126088
ENSG00000276171	55	4229	1061	731	8790
ENSG00000237973	48	11438	4461	5234	22310
ENSG00000278791	0	0	0	0	0
ENSG00000229344	2	671	339	126	916
ENSG00000240409	0	15	2	6	42
ENSG00000248527	908	116758	59411	28339	150503
ENSG00000198744	11	558	457	314	1228
ENSG00000268663	0	0	0	0	0
ENSG00000273547	0	0	0	0	0
ENSG00000229376	0	0	2	4	2
ENSG00000228327	92	89	214	276	80
ENSG00000223181	0	0	0	0	0
ENSG00000229905	0	0	0	0	0
ENSG00000237491	6	41	132	190	181
ENSG00000230092	17	22	65	54	22
ENSG00000177757	7	5	28	33	22
ENSG00000228794	1359	229	1840	1355	709
ENSG00000225880	27	21	76	55	67
ENSG00000230368	0	0	0	3	0
ENSG00000234711	0	0	1	0	0
ENSG00000283040	0	0	1	0	0
ENSG00000272438	2	1	33	5	12
ENSG00000230699	0	3	151	14	36
ENSG00000241180	0	0	4	0	0
ENSG00000223764	0	11	714	138	28
ENSG00000187634	12	28	572	237	46
ENSG00000188976	5542	1958	9032	7579	5731
ENSG00000187961	757	341	2719	974	1060
ENSG00000277294	0	0	0	0	0
ENSG00000187583	3	14	627	613	87
ENSG00000187642	42	7	156	135	36
ENSG00000272512	1	35	82	58	98
ENSG00000188290	19	123	289	273	318
ENSG00000187608	95	1595	2776	2583	7227
ENSG00000231702	0	1	1	0	0
ENSG00000224969	0	3	9	2	2
ENSG00000188157	7384	1962	31657	47164	12655
ENSG00000242590	0	0	0	0	0
ENSG00000217801	140	27	372	179	227
ENSG00000273443	9	1	46	4	30
ENSG00000237330	2	1	1	1	0
ENSG00000131591	708	251	861	917	700
ENSG00000223823	0	0	0	1	0
ENSG00000207730	0	0	0	0	0
ENSG00000207607	0	0	1	0	0
ENSG00000198976	0	0	0	0	1
ENSG00000272141	0	0	2	1	2
ENSG00000205231	0	0	2	1	0
ENSG00000162571	1	1	24	10	1
ENSG00000186891	2	100	24	114	194
ENSG00000186827	56	136	4595	3198	381
ENSG00000078808	12765	3603	34613	19387	6959
ENSG00000176022	1540	703	1971	2056	1491
ENSG00000184163	8	10	3750	29	80
ENSG00000260179	1	4	27	9	10
ENSG00000160087	2966	1118	2783	2624	2113
ENSG00000230415	5	12	49	45	26
ENSG00000162572	40	120	258	1391	291
ENSG00000131584	2184	897	3511	12812	5952
ENSG00000278073	0	0	0	0	0
ENSG00000169972	510	209	595	797	635
ENSG00000127054	5180	2151	4811	5618	3828
ENSG00000274153	0	0	0	0	0
ENSG00000240731	22	37	100	210	148
ENSG00000224051	1764	464	1098	1690	1309
ENSG00000169962	42	9	23	166	12
ENSG00000107404	4555	1164	4417	3792	3227
ENSG00000275884	0	0	0	0	0
ENSG00000162576	574	563	6050	9703	3397
ENSG00000175756	4702	2042	3866	4475	4527
ENSG00000223663	0	2	3	2	1
ENSG00000221978	2112	4786	12522	12889	7557
ENSG00000224870	859	656	1424	966	1142
ENSG00000242485	4027	2655	3744	3792	4584
ENSG00000264293	0	0	0	0	0
ENSG00000272455	85	165	255	379	179
ENSG00000235098	19	49	467	221	99
ENSG00000225905	0	8	31	6	8
ENSG00000205116	1	1	81	3	2
ENSG00000225285	1	13	258	94	14
ENSG00000179403	899	1759	11109	4780	4201
ENSG00000215915	7	31	36	55	132
ENSG00000160072	789	1256	1461	3755	5396
ENSG00000197785	2122	1178	2658	3559	3441
ENSG00000205090	22	33	256	55	133
ENSG00000160075	10402	4140	5567	7378	6260
ENSG00000215014	269	55	47	82	43
ENSG00000279244	0	0	0	0	1
ENSG00000274481	0	1	0	0	1
ENSG00000280747	0	0	0	0	0
ENSG00000228594	2498	755	826	1215	1204
ENSG00000272106	124	185	286	372	220
ENSG00000197530	1885	900	1942	2454	2692
ENSG00000189409	3	4	4	95	10
ENSG00000248333	3246	654	2502	2254	2463
ENSG00000272004	0	0	5	0	1
ENSG00000189339	4029	445	3323	1751	1529
ENSG00000269737	15	5	22	19	19
ENSG00000269227	8	2	3	11	9
ENSG00000215914	8	0	14	24	14
ENSG00000008128	54	22	100	74	194
ENSG00000268575	32	2	103	31	47
ENSG00000227775	99	95	243	462	161
ENSG00000215790	104	20	168	84	65
ENSG00000008130	2882	1764	2597	3373	3115
ENSG00000078369	35476	6465	26216	34353	18734
ENSG00000231050	8	8	9	9	9
ENSG00000169885	0	21	68	43	61
ENSG00000178821	0	7	160	107	140
ENSG00000142609	6	6	18	10	12
ENSG00000233542	9	4	13	11	36
ENSG00000187730	131	38	81	89	143
ENSG00000226969	0	0	2	4	0
ENSG00000067606	487	82	1474	1367	111
ENSG00000271806	1	1	6	10	4
ENSG00000182873	17	20	86	151	44
ENSG00000162585	2338	1057	1631	2441	3063
ENSG00000234396	0	0	2	2	3
